Chr	start	end	length	TRlength	TRcoverage	case
CM051462.1	5221634	13519174	8297541	457288	5.51%	100k
CM051462.1	18573108	27316786	8743679	481677	5.51%	100k
CM051462.1	205467057	216413501	10946445	597637	5.46%	100k
CM051462.1	96922555	98242868	1320314	71735	5.43%	100k
CM051462.1	203314310	205407205	2092896	113369	5.42%	100k
CM051462.1	82068315	95522335	13454021	718170	5.34%	100k
CM051462.1	130524465	130851859	327395	17396	5.31%	100k
CM051462.1	197838036	203263198	5425163	287493	5.3%	100k
CM051462.1	173554092	174692889	1138798	60113	5.28%	100k
CM051462.1	219683604	223273033	3589430	189281	5.27%	100k
CM051462.1	33374648	46182629	12807982	674379	5.27%	100k
CM051462.1	124323105	130472207	6149103	320853	5.22%	100k
CM051462.1	60781067	62278885	1497819	77095	5.15%	100k
CM051462.1	181820601	192176006	10355406	529867	5.12%	100k
CM051462.1	138805507	139486884	681378	34253	5.03%	100k
CM051462.1	217701264	219620677	1919414	95300	4.97%	100k
CM051462.1	130902460	133852614	2950155	144299	4.89%	100k
CM051462.1	119343733	124268533	4924801	233796	4.75%	100k
CM051462.1	15741718	18518148	2776431	130979	4.72%	100k
CM051462.1	174743940	181768011	7024072	328158	4.67%	100k
CM051462.1	145376241	152267724	6891484	319071	4.63%	100k
CM051462.1	4970095	5169904	199810	8839	4.42%	100k
CM051462.1	152324124	163744249	11420126	498860	4.37%	100k
CM051462.1	136065414	138752553	2687140	114816	4.27%	100k
CM051462.1	167069524	173495750	6426227	272275	4.24%	100k
CM051462.1	142414761	145323432	2908672	117149	4.03%	100k
CM051462.1	1	2374403	2374403	90650	3.82%	100k
CM051462.1	163794357	166988183	3193827	117277	3.67%	100k
CM051462.1	217234374	217637799	403426	13741	3.41%	100k
CM051462.1	142100744	142363700	262957	8145	3.1%	100k
CM051462.1	67488719	67931377	442659	9823	2.22%	100k
CM051463.1	104670288	105342098	671811	75942	11.3%	100k
CM051463.1	118884714	119449902	565189	47142	8.34%	100k
CM051463.1	1	6451718	6451718	416918	6.46%	100k
CM051463.1	6505892	21986636	15480745	988437	6.38%	100k
CM051463.1	73414291	91080443	17666153	1102383	6.24%	100k
CM051463.1	205740708	206170772	430065	26411	6.14%	100k
CM051463.1	99916350	102465751	2549402	155675	6.11%	100k
CM051463.1	91292303	99834530	8542228	511746	5.99%	100k
CM051463.1	222762840	225460456	2697617	160968	5.97%	100k
CM051463.1	207759057	218708586	10949530	652594	5.96%	100k
CM051463.1	34771718	60970787	26199070	1554374	5.93%	100k
CM051463.1	22040873	34706532	12665660	749722	5.92%	100k
CM051463.1	141763980	143230173	1466194	84686	5.78%	100k
CM051463.1	218767783	221141605	2373823	133442	5.62%	100k
CM051463.1	61022973	67781877	6758905	377770	5.59%	100k
CM051463.1	206222411	207707839	1485429	82892	5.58%	100k
CM051463.1	70051801	73361018	3309218	182716	5.52%	100k
CM051463.1	225514799	230078608	4563810	249947	5.48%	100k
CM051463.1	119509394	126422490	6913097	377767	5.46%	100k
CM051463.1	105406952	111766968	6360017	344826	5.42%	100k
CM051463.1	190492347	190854754	362408	19578	5.4%	100k
CM051463.1	143283315	146171482	2888168	154502	5.35%	100k
CM051463.1	102651832	104617462	1965631	105144	5.35%	100k
CM051463.1	190912741	195145992	4233252	225605	5.33%	100k
CM051463.1	182438844	190436623	7997780	425133	5.32%	100k
CM051463.1	221197085	222700671	1503587	79485	5.29%	100k
CM051463.1	195201924	205682252	10480329	549693	5.24%	100k
CM051463.1	114616148	118827818	4211671	219093	5.2%	100k
CM051463.1	113099373	114462349	1362977	70626	5.18%	100k
CM051463.1	67845726	70001491	2155766	109996	5.1%	100k
CM051463.1	137112714	141694526	4581813	231359	5.05%	100k
CM051463.1	147210690	149698811	2488122	124160	4.99%	100k
CM051463.1	179711931	182384555	2672625	131870	4.93%	100k
CM051463.1	126479851	137054002	10574152	510736	4.83%	100k
CM051463.1	146222954	147148367	925414	44142	4.77%	100k
CM051463.1	155413529	179654945	24241417	1146189	4.73%	100k
CM051463.1	111829631	113015656	1186026	50828	4.29%	100k
CM051463.1	149756337	155359921	5603585	223497	3.99%	100k
CM051459.1	3738814	4859810	1120997	106356	9.49%	10k
CM051459.1	147691823	148064502	372680	33126	8.89%	10k
CM051459.1	1	3686783	3686783	316778	8.59%	10k
CM051459.1	363871538	365124666	1253129	105494	8.42%	10k
CM051459.1	17886197	18175156	288960	22199	7.68%	10k
CM051459.1	182375145	182759365	384221	27594	7.18%	10k
CM051459.1	148260895	152943818	4682924	335049	7.15%	10k
CM051459.1	267546303	267575067	28765	2042	7.1%	10k
CM051459.1	39108919	41079466	1970548	139741	7.09%	10k
CM051459.1	5207340	7677694	2470355	171770	6.95%	10k
CM051459.1	235817839	237265590	1447752	100476	6.94%	10k
CM051459.1	357853378	362403823	4550446	310820	6.83%	10k
CM051459.1	333417568	341688271	8270704	538970	6.52%	10k
CM051459.1	182812597	196742898	13930302	902076	6.48%	10k
CM051459.1	139884434	146810588	6926155	441005	6.37%	10k
CM051459.1	68808602	75287787	6479186	412339	6.36%	10k
CM051459.1	132059651	139828390	7768740	490712	6.32%	10k
CM051459.1	20044039	20959786	915748	57705	6.3%	10k
CM051459.1	41134865	41878007	743143	46369	6.24%	10k
CM051459.1	45687758	47688728	2000971	124659	6.23%	10k
CM051459.1	313575909	313595000	19092	1184	6.2%	10k
CM051459.1	100134602	132007329	31872728	1970180	6.18%	10k
CM051459.1	342328865	351982401	9653537	596164	6.18%	10k
CM051459.1	365179821	371770277	6590457	406125	6.16%	10k
CM051459.1	362461762	363813631	1351870	82867	6.13%	10k
CM051459.1	237328820	242256350	4927531	300684	6.1%	10k
CM051459.1	152998801	174525316	21526516	1313228	6.1%	10k
CM051459.1	196977510	199435742	2458233	149556	6.08%	10k
CM051459.1	199493231	220577091	21083861	1279148	6.07%	10k
CM051459.1	245247009	250226727	4979719	301879	6.06%	10k
CM051459.1	352041770	356624653	4582884	275602	6.01%	10k
CM051459.1	326441406	327181110	739705	44254	5.98%	10k
CM051459.1	356674841	357799123	1124283	66277	5.9%	10k
CM051459.1	63718667	68343289	4624623	272300	5.89%	10k
CM051459.1	12920472	15737937	2817466	165338	5.87%	10k
CM051459.1	220633298	235764839	15131542	886559	5.86%	10k
CM051459.1	7741144	12859734	5118591	298037	5.82%	10k
CM051459.1	327236295	328824325	1588031	90886	5.72%	10k
CM051459.1	371822685	375414240	3591556	205270	5.72%	10k
CM051459.1	21015091	39046840	18031750	1030443	5.71%	10k
CM051459.1	330293880	333363966	3070087	171878	5.6%	10k
CM051459.1	341750142	342274380	524239	29335	5.6%	10k
CM051459.1	15858677	17800577	1941901	108164	5.57%	10k
CM051459.1	75342303	86046072	10703770	595403	5.56%	10k
CM051459.1	41938400	45371000	3432601	185785	5.41%	10k
CM051459.1	313645606	326388009	12742404	688487	5.4%	10k
CM051459.1	90467739	100066461	9598723	517096	5.39%	10k
CM051459.1	86098539	90416326	4317788	232531	5.39%	10k
CM051459.1	18250903	19991570	1740668	93551	5.37%	10k
CM051459.1	242306805	245186266	2879462	153605	5.33%	10k
CM051459.1	146868322	147635686	767365	40063	5.22%	10k
CM051459.1	250285886	259586270	9300385	480363	5.16%	10k
CM051459.1	259640504	267490218	7849715	405219	5.16%	10k
CM051459.1	328876165	330237373	1361209	69901	5.14%	10k
CM051459.1	47739628	63614379	15874752	793689	5.0%	10k
CM051459.1	267631264	268478422	847159	42253	4.99%	10k
CM051459.1	268530163	280466219	11936057	591457	4.96%	10k
CM051459.1	294537538	313524185	18986648	939903	4.95%	10k
CM051459.1	174601296	182297739	7696444	379757	4.93%	10k
CM051459.1	280524982	290099673	9574692	468895	4.9%	10k
CM051459.1	290152624	294482660	4330037	185962	4.29%	10k
CM051459.1	68401877	68592160	190284	4965	2.61%	10k
CM051459.1	148132384	148209436	77053	1747	2.27%	10k
CM051460.1	125724619	126226473	501855	55513	11.06%	10k
CM051460.1	267538543	269312640	1774098	132266	7.46%	10k
CM051460.1	126492584	136920510	10427927	766964	7.35%	10k
CM051460.1	327994480	330220828	2226349	162339	7.29%	10k
CM051460.1	242899671	243593766	694096	49720	7.16%	10k
CM051460.1	330318160	361198777	30880618	2153825	6.97%	10k
CM051460.1	278481999	287628266	9146268	634135	6.93%	10k
CM051460.1	100901709	120865766	19964058	1371513	6.87%	10k
CM051460.1	172622804	174980052	2357249	159886	6.78%	10k
CM051460.1	294419511	324677960	30258450	2047732	6.77%	10k
CM051460.1	324741720	327937167	3195448	210632	6.59%	10k
CM051460.1	265478790	267484612	2005823	131983	6.58%	10k
CM051460.1	287710638	289639794	1929157	126783	6.57%	10k
CM051460.1	1	9405896	9405896	616584	6.56%	10k
CM051460.1	19505841	22827749	3321909	214347	6.45%	10k
CM051460.1	269379182	270460279	1081098	69703	6.45%	10k
CM051460.1	77463068	100846692	23383625	1502802	6.43%	10k
CM051460.1	13391190	19451718	6060529	383471	6.33%	10k
CM051460.1	120919319	125625908	4706590	296908	6.31%	10k
CM051460.1	222743739	227141235	4397497	274262	6.24%	10k
CM051460.1	42468212	45302397	2834186	174844	6.17%	10k
CM051460.1	293333201	294369024	1035824	63880	6.17%	10k
CM051460.1	145684248	172567762	26883515	1656922	6.16%	10k
CM051460.1	272202245	276205834	4003590	246693	6.16%	10k
CM051460.1	247145286	265420843	18275558	1124582	6.15%	10k
CM051460.1	175030327	183817283	8786957	533880	6.08%	10k
CM051460.1	22880699	42418129	19537431	1178856	6.03%	10k
CM051460.1	136993719	145622194	8628476	515462	5.97%	10k
CM051460.1	9458382	13337096	3878715	230353	5.94%	10k
CM051460.1	243663344	247084414	3421071	202965	5.93%	10k
CM051460.1	183885552	189779787	5894236	348925	5.92%	10k
CM051460.1	45357782	77407458	32049677	1896866	5.92%	10k
CM051460.1	289777365	293275979	3498615	205713	5.88%	10k
CM051460.1	227199321	242838133	15638813	910571	5.82%	10k
CM051460.1	203077458	222313549	19236092	1033820	5.37%	10k
CM051460.1	189830317	203026424	13196108	703243	5.33%	10k
CM051460.1	276270107	278425139	2155033	114527	5.31%	10k
CM051460.1	222372495	222561955	189461	8097	4.27%	10k
CM051461.1	130608250	131391232	782983	68293	8.72%	10k
CM051461.1	65366676	66485624	1118949	94241	8.42%	10k
CM051461.1	27889003	32431646	4542644	343726	7.57%	10k
CM051461.1	26905817	27793772	887956	66909	7.54%	10k
CM051461.1	161564593	161775988	211396	15614	7.39%	10k
CM051461.1	125288381	130552499	5264119	388598	7.38%	10k
CM051461.1	1	4111144	4111144	292678	7.12%	10k
CM051461.1	231274893	236252452	4977560	349534	7.02%	10k
CM051461.1	193819305	195884697	2065393	140276	6.79%	10k
CM051461.1	47244352	57133522	9889171	665176	6.73%	10k
CM051461.1	103770402	116453330	12682929	830095	6.54%	10k
CM051461.1	4889311	16438677	11549367	751140	6.5%	10k
CM051461.1	166980636	169805272	2824637	181499	6.43%	10k
CM051461.1	252121733	265132489	13010757	834511	6.41%	10k
CM051461.1	131452888	135974336	4521449	289949	6.41%	10k
CM051461.1	148081622	152464774	4383153	280061	6.39%	10k
CM051461.1	169860981	173292936	3431956	217678	6.34%	10k
CM051461.1	120043939	125235473	5191535	327919	6.32%	10k
CM051461.1	136025767	148031231	12005465	756607	6.3%	10k
CM051461.1	152518423	156208455	3690033	231819	6.28%	10k
CM051461.1	195935823	198737309	2801487	173495	6.19%	10k
CM051461.1	236312213	252064453	15752241	967654	6.14%	10k
CM051461.1	36374459	47184407	10809949	660545	6.11%	10k
CM051461.1	156296130	161509092	5212963	317836	6.1%	10k
CM051461.1	87499317	103700827	16201511	985547	6.08%	10k
CM051461.1	16492901	19167771	2674871	161765	6.05%	10k
CM051461.1	19235806	26843522	7607717	458234	6.02%	10k
CM051461.1	116504739	119991908	3487170	208936	5.99%	10k
CM051461.1	161984329	164553448	2569120	150149	5.84%	10k
CM051461.1	216075768	231219419	15143652	884733	5.84%	10k
CM051461.1	198791775	216016518	17224744	997547	5.79%	10k
CM051461.1	164618980	166923140	2304161	132983	5.77%	10k
CM051461.1	32488634	36320312	3831679	219419	5.73%	10k
CM051461.1	66540564	69387324	2846761	156027	5.48%	10k
CM051461.1	173344145	177514897	4170753	228227	5.47%	10k
CM051461.1	57333391	65308405	7975015	433303	5.43%	10k
CM051461.1	184777899	193747464	8969566	484080	5.4%	10k
CM051461.1	78563219	82903461	4340243	231952	5.34%	10k
CM051461.1	177584906	184708731	7123826	375498	5.27%	10k
CM051461.1	83009619	87442707	4433089	233285	5.26%	10k
CM051461.1	69447764	78511786	9064023	469384	5.18%	10k
CM051461.1	4165706	4805133	639428	31550	4.93%	10k
CM051461.1	161839403	161933914	94512	2434	2.58%	10k
CM051462.1	108243041	109063184	820144	63911	7.79%	10k
CM051462.1	216480422	217183474	703053	54185	7.71%	10k
CM051462.1	27388374	29768618	2380245	163855	6.88%	10k
CM051462.1	95573806	96872503	1298698	87763	6.76%	10k
CM051462.1	233492925	240809901	7316977	483596	6.61%	10k
CM051462.1	2424666	4092419	1667754	108583	6.51%	10k
CM051462.1	56612851	60728047	4115197	267181	6.49%	10k
CM051462.1	52477883	56561493	4083611	263794	6.46%	10k
CM051462.1	62334627	67323043	4988417	308565	6.19%	10k
CM051462.1	223327128	233442753	10115626	622949	6.16%	10k
CM051462.1	72071354	82017060	9945707	600480	6.04%	10k
CM051462.1	31439836	33318851	1879016	112675	6.0%	10k
CM051462.1	13588300	15689783	2101484	125248	5.96%	10k
CM051462.1	29829454	31386131	1556678	92773	5.96%	10k
CM051462.1	46621608	52408081	5786474	343049	5.93%	10k
CM051462.1	69061980	72013021	2951042	170708	5.78%	10k
CM051462.1	4144226	4897766	753541	43454	5.77%	10k
CM051462.1	141635976	142050017	414042	23843	5.76%	10k
CM051462.1	98297260	108182118	9884859	567319	5.74%	10k
CM051462.1	109121522	119289384	10167863	573897	5.64%	10k
CM051462.1	67984969	69005478	1020510	57573	5.64%	10k
CM051462.1	192229319	197768765	5539447	310914	5.61%	10k
CM051462.1	5221634	13519174	8297541	457288	5.51%	10k
CM051462.1	18573108	27316786	8743679	481677	5.51%	10k
CM051462.1	205467057	216413501	10946445	597637	5.46%	10k
CM051462.1	96922555	98242868	1320314	71735	5.43%	10k
CM051462.1	203314310	205407205	2092896	113369	5.42%	10k
CM051462.1	82068315	95522335	13454021	718170	5.34%	10k
CM051462.1	130524465	130851859	327395	17396	5.31%	10k
CM051462.1	197838036	203263198	5425163	287493	5.3%	10k
CM051462.1	173554092	174692889	1138798	60113	5.28%	10k
CM051462.1	219683604	223273033	3589430	189281	5.27%	10k
CM051462.1	33374648	46182629	12807982	674379	5.27%	10k
CM051462.1	124323105	130472207	6149103	320853	5.22%	10k
CM051462.1	60781067	62278885	1497819	77095	5.15%	10k
CM051462.1	181820601	192176006	10355406	529867	5.12%	10k
CM051462.1	138805507	139486884	681378	34253	5.03%	10k
CM051462.1	217701264	219620677	1919414	95300	4.97%	10k
CM051462.1	130902460	133852614	2950155	144299	4.89%	10k
CM051462.1	119343733	124268533	4924801	233796	4.75%	10k
CM051462.1	15741718	18518148	2776431	130979	4.72%	10k
CM051462.1	174743940	181768011	7024072	328158	4.67%	10k
CM051462.1	145376241	152267724	6891484	319071	4.63%	10k
CM051462.1	4970095	5169904	199810	8839	4.42%	10k
CM051462.1	152324124	163744249	11420126	498860	4.37%	10k
CM051462.1	136065414	138752553	2687140	114816	4.27%	10k
CM051462.1	167069524	173495750	6426227	272275	4.24%	10k
CM051462.1	142414761	145323432	2908672	117149	4.03%	10k
CM051462.1	1	2374403	2374403	90650	3.82%	10k
CM051462.1	163794357	166988183	3193827	117277	3.67%	10k
CM051462.1	217234374	217637799	403426	13741	3.41%	10k
CM051462.1	142100744	142363700	262957	8145	3.1%	10k
CM051462.1	67488719	67931377	442659	9823	2.22%	10k
CM051463.1	104670288	105342098	671811	75942	11.3%	10k
CM051463.1	118884714	119449902	565189	47142	8.34%	10k
CM051463.1	1	6451718	6451718	416918	6.46%	10k
CM051463.1	6505892	21986636	15480745	988437	6.38%	10k
CM051463.1	73414291	91080443	17666153	1102383	6.24%	10k
CM051463.1	205740708	206170772	430065	26411	6.14%	10k
CM051463.1	99916350	102465751	2549402	155675	6.11%	10k
CM051463.1	91292303	99834530	8542228	511746	5.99%	10k
CM051463.1	222762840	225460456	2697617	160968	5.97%	10k
CM051463.1	207759057	218708586	10949530	652594	5.96%	10k
CM051463.1	34771718	60970787	26199070	1554374	5.93%	10k
CM051463.1	22040873	34706532	12665660	749722	5.92%	10k
CM051463.1	141763980	143230173	1466194	84686	5.78%	10k
CM051463.1	218767783	221141605	2373823	133442	5.62%	10k
CM051463.1	61022973	67781877	6758905	377770	5.59%	10k
CM051463.1	206222411	207707839	1485429	82892	5.58%	10k
CM051463.1	70051801	73361018	3309218	182716	5.52%	10k
CM051463.1	225514799	230078608	4563810	249947	5.48%	10k
CM051463.1	119509394	126422490	6913097	377767	5.46%	10k
CM051463.1	105406952	111766968	6360017	344826	5.42%	10k
CM051463.1	190492347	190854754	362408	19578	5.4%	10k
CM051463.1	143283315	146171482	2888168	154502	5.35%	10k
CM051463.1	102651832	104617462	1965631	105144	5.35%	10k
CM051463.1	190912741	195145992	4233252	225605	5.33%	10k
CM051463.1	182438844	190436623	7997780	425133	5.32%	10k
CM051463.1	221197085	222700671	1503587	79485	5.29%	10k
CM051463.1	195201924	205682252	10480329	549693	5.24%	10k
CM051463.1	114616148	118827818	4211671	219093	5.2%	10k
CM051463.1	113099373	114462349	1362977	70626	5.18%	10k
CM051463.1	67845726	70001491	2155766	109996	5.1%	10k
CM051463.1	137112714	141694526	4581813	231359	5.05%	10k
CM051463.1	147210690	149698811	2488122	124160	4.99%	10k
CM051463.1	179711931	182384555	2672625	131870	4.93%	10k
CM051463.1	126479851	137054002	10574152	510736	4.83%	10k
CM051463.1	146222954	147148367	925414	44142	4.77%	10k
CM051463.1	155413529	179654945	24241417	1146189	4.73%	10k
CM051463.1	111829631	113015656	1186026	50828	4.29%	10k
CM051463.1	149756337	155359921	5603585	223497	3.99%	10k
CM051463.1	114519204	114559807	40604	815	2.01%	10k
